candidate,depth,mean_predicted_gain,mean_realized_gain,n,ordered,positive_gain_rate,quantile,score_max,score_min,spearman
contractive__compact,1,0.00012810970496034458,0.00016706958367770425,2554,True,0.8245888801879405,1,0.00013372011027712157,0.00012236718579682992,0.1903584034826795
contractive__compact,1,0.00013994941892779181,0.00017102347951624528,2554,True,0.8210649960845732,2,0.0001471696706382801,0.0001337262201243439,0.1903584034826795
contractive__compact,1,0.00015892100322724537,0.00022460260782841354,2553,True,0.8350959655307482,3,0.0001765633886064359,0.00014717051316738745,0.1903584034826795
contractive__compact,1,0.00025025590477467945,0.00034233953403779575,2553,True,0.8750489620054838,4,0.0005984030459458417,0.00017657426083761505,0.1903584034826795
contractive__compact,2,-2.9048952351703655e-06,4.336193795848314e-06,2554,True,0.5105716523101018,0,2.0810975282959006e-06,-2.5758793660696916e-05,0.21240835109915354
contractive__compact,2,5.233124002253214e-06,8.074657828073012e-06,2554,True,0.52858261550509,1,8.409997106886336e-06,2.081942525771971e-06,0.21240835109915354
contractive__compact,2,1.2689736431141144e-05,1.77050195137526e-05,2554,True,0.566953797963978,2,1.7967213633064932e-05,8.410359813522655e-06,0.21240835109915354
contractive__compact,2,2.69822584862279e-05,3.0460828072378682e-05,2553,True,0.5934195064629847,3,3.99662611335061e-05,1.796895821352517e-05,0.21240835109915354
contractive__compact,2,9.132720487568497e-05,0.00011400807612372035,2553,True,0.6870348609479044,4,0.0006209344618130913,3.996981220361073e-05,0.21240835109915354
contractive__compact,3,-8.90390218218108e-06,-9.716862679813596e-06,2554,True,0.3371182458888019,0,-6.19964399075463e-06,-2.139120809225561e-05,0.11243298563480739
