dataset,stage,endpoint,decile,rows,predicted_gain_mean,observed_gain_mean,score_mean
pusht_binary,1,raw,3,432,-0.002163885212090561,-0.0015212970752049469,-0.5886570394450348
pusht_binary,1,raw,4,432,0.00020412500463209987,-0.0009298284257562542,-0.49193666258751406
pusht_binary,1,raw,5,432,0.002459275596879611,0.0004138305348798659,-0.3936811606246446
pusht_binary,1,raw,6,432,0.005069806884784912,0.0009074585550229458,-0.27199314919125456
pusht_binary,1,raw,7,432,0.008369125826863071,0.0027327881474415857,-0.16336254404275485
pusht_binary,1,raw,8,432,0.013066322654850658,0.005542274956625023,0.0038576387443080788
pusht_binary,1,raw,9,432,0.020196057858797252,0.010344952157241205,0.31411094925858535
pusht_binary,1,raw,10,432,0.041852641593851235,0.02661915171249834,1.161422259097973
pusht_binary,1,whitened,1,432,-0.006369225745478351,0.001922037375655916,-1.1710566155963864
pusht_binary,1,whitened,2,432,0.0012138451693843183,0.0039607825414607134,-0.7109281469209129
pusht_binary,1,whitened,3,432,0.0036637079581620185,0.004582793499418635,-0.6029514526884848
pusht_binary,1,whitened,4,432,0.005541815722829356,0.004700525681493124,-0.49549432550012895
pusht_binary,1,whitened,5,432,0.007413723202205482,0.0051885398295230195,-0.393241935056948
pusht_binary,1,whitened,6,432,0.009385463633200497,0.006175110443922853,-0.29575744695314826
pusht_binary,1,whitened,7,432,0.011710764332001777,0.006317744438294972,-0.1656749185478707
pusht_binary,1,whitened,8,432,0.015085033580961775,0.0066612810204665805,-0.005122196227216995
pusht_binary,1,whitened,9,432,0.020620086176554597,0.010204955678686796,0.3332168269452918
pusht_binary,1,whitened,10,432,0.03868090937161709,0.018450144900361908,1.1112045437214928
