radius_bin,left_row_id,right_row_id,left_episode_key,right_episode_key,left_radius,right_radius,abs_radius_gap,left_local_expansion,right_local_expansion,left_model_sensitivity,right_model_sensitivity
8,swm/FetchSlideDense-v3::357::46,swm/FetchSlideDense-v3::436::44,swm/FetchSlideDense-v3::357,swm/FetchSlideDense-v3::436,0.6038363039264517,0.6038853889765738,4.9085050122132934e-05,4.052034769519945,6.6318250562305305,3.1364162798845814,0.9984521932902323
8,swm/FetchPushDense-v3::322::36,swm/FetchPushDense-v3::99::47,swm/FetchPushDense-v3::322,swm/FetchPushDense-v3::99,0.6040016549615675,0.6041369430818142,0.00013528812024665715,7.226862820785415,4.588438480513283,6.382401005657036,0.5944853725036593
8,swm/FetchPushDense-v3::322::38,swm/FetchSlideDense-v3::392::31,swm/FetchPushDense-v3::322,swm/FetchSlideDense-v3::392,0.6041085728183375,0.6037332742876669,0.00037529853067064245,6.105625600778896,5.911471741514187,5.338382965037164,4.517068125469004
8,swm/FetchPushDense-v3::177::46,swm/FetchPushDense-v3::486::31,swm/FetchPushDense-v3::177,swm/FetchPushDense-v3::486,0.6047150000453655,0.604776260203823,6.12601584575323e-05,5.9937228333912556,5.272371050510635,5.112538170442018,3.2136665698838565
8,swm/FetchPushDense-v3::384::28,swm/FetchPushDense-v3::15::26,swm/FetchPushDense-v3::384,swm/FetchPushDense-v3::15,0.6050829560378845,0.6052087086210346,0.00012575258315006277,5.9741421170751865,4.188298254872722,3.619866093622042,0.8346290032617295
8,swm/FetchSlideDense-v3::357::48,swm/FetchPushDense-v3::426::26,swm/FetchSlideDense-v3::357,swm/FetchPushDense-v3::426,0.6058308786531299,0.6059648344881791,0.00013395583504915987,4.796365590356907,4.0400877947328375,1.7752429870204842,1.2747643776919315
8,swm/FetchPushDense-v3::61::9,swm/FetchSlideDense-v3::13::41,swm/FetchPushDense-v3::61,swm/FetchSlideDense-v3::13,0.606008589806301,0.6060615401573652,5.2950351064229295e-05,5.700984677652907,7.5128002928209945,3.555214643118735,0.7731241167044083
8,swm/FetchPushDense-v3::358::37,swm/FetchPushDense-v3::196::36,swm/FetchPushDense-v3::358,swm/FetchPushDense-v3::196,0.6064618042686793,0.606384088253461,7.771601521833205e-05,4.074702055872526,5.2965744418145775,1.575087382700202,3.6464898557650303
8,swm/FetchPushDense-v3::192::28,swm/FetchPushDense-v3::357::19,swm/FetchPushDense-v3::192,swm/FetchPushDense-v3::357,0.6070403975963532,0.6070642032253801,2.380562902692951e-05,3.9375027989275355,8.607438535792921,3.1045238506626163,6.312643402426066
8,swm/FetchPushDense-v3::99::3,swm/FetchPushDense-v3::289::46,swm/FetchPushDense-v3::99,swm/FetchPushDense-v3::289,0.6071988180954107,0.6072463441189888,4.752602357815938e-05,6.401179441225663,5.094099914024835,5.514117287390401,4.418669120881177
