n,mean,median,trimmed_mean,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,trimmed_mean_ci_low,trimmed_mean_ci_high,dataset,r_item,scale,regime,metric,n_anchors,n_usable,n_below_5_neighbors,n_episodes
371,0.6168484967112694,0.48965215850892435,0.5472533426696481,0.5601684663651411,0.6715786324927422,0.4312091297349145,0.5446231185381869,0.4993033565518832,0.595880747102559,cube,R2,pca90,interaction,model_sensitivity,371,371,0,20
371,1.7633065900520202,1.1397027828227506,1.387495619337529,1.584990882750122,1.9296479865969822,0.9827169966607273,1.2815035332349025,1.233827000730789,1.5521746094791116,cube,R2,pca90,interaction,residual_norm,371,371,0,20
31,3.158205371231921,2.9186101360138546,3.2097298484725223,2.58931482880701,3.7969661106289583,2.391879219233531,4.508916600772443,2.537138993376202,3.8943913385872295,cube,R2,pca90,static,neighbor_radius,31,31,0,19
0,,,,,,,,,,cube,R2,pca90,static,action_neighbor_distance,31,31,0,19
31,1.0547475659433334,1.051490214539333,1.0562129108518363,1.015898183366622,1.0886169586935701,1.0313300949051138,1.0767958337820498,1.0208714630006444,1.0886571422295224,cube,R2,pca90,static,local_expansion,31,31,0,19
31,0.3534153994170594,0.2943138531488177,0.3264026925094328,0.2874409826520161,0.43370812336776765,0.22469622049581253,0.38660002219315426,0.27214201007270616,0.40558172520291497,cube,R2,pca90,static,model_sensitivity,31,31,0,19
31,0.6949963816259127,0.6029128395964286,0.676848600167037,0.5809874539054619,0.8108205063264421,0.5336377716047056,0.8168607143648828,0.5554726458284418,0.8092276926968509,cube,R2,pca90,static,residual_norm,31,31,0,19
358,9.998245314977524,10.466611790192449,10.219638211447958,8.85245881948974,11.002055614025819,9.336808900553129,11.231561745624209,8.95560296912879,11.197059764074549,cube,R2,pca99,transport_free,neighbor_radius,358,358,0,20
0,,,,,,,,,,cube,R2,pca99,transport_free,action_neighbor_distance,358,358,0,20
358,1.1178761279331422,1.0681222642947967,1.0820500183981723,1.0801864949349442,1.1663291296160856,1.0476172962285244,1.0834376624397757,1.0617311293107248,1.114523537244257,cube,R2,pca99,transport_free,local_expansion,358,358,0,20
358,0.3226732880366169,0.2586025376883225,0.2876184870051276,0.2827300365844884,0.36943282693192114,0.23200770412412827,0.29774686192213046,0.2578219268403246,0.3299339384789662,cube,R2,pca99,transport_free,model_sensitivity,358,358,0,20
358,2.338340543971968,1.7805113560108061,2.1454809536519126,2.194200511622343,2.4663142764714343,1.6644890889679873,1.9128350921456814,1.9968711612128873,2.278763368277013,cube,R2,pca99,transport_free,residual_norm,358,358,0,20
371,10.470166661679073,10.82948314389902,10.63284201390646,9.756252917979085,11.08429020880515,10.175760093839,11.318417541779452,9.951910067191491,11.175739101175191,cube,R2,pca99,interaction,neighbor_radius,371,371,0,20
0,,,,,,,,,,cube,R2,pca99,interaction,action_neighbor_distance,371,371,0,20
371,1.1987321752344116,1.122151861498722,1.1544843621354175,1.1625161447113745,1.2418096645175165,1.099983431256905,1.140069265768785,1.1300889574209636,1.1836680401511024,cube,R2,pca99,interaction,local_expansion,371,371,0,20
371,0.5487580921521238,0.4415186877694807,0.48952684797450524,0.4910105324751507,0.6046099334107792,0.38251028092839207,0.4910114989574978,0.4362474750659796,0.5461165065603992,cube,R2,pca99,interaction,model_sensitivity,371,371,0,20
371,4.793171686534621,3.3827735872153326,4.036697463929501,4.431553701620905,5.192912742349182,3.0685844693832123,3.69423912244417,3.7307168533211663,4.412882145436363,cube,R2,pca99,interaction,residual_norm,371,371,0,20
31,9.744346568705055,10.50078470257986,10.07421578943483,8.315476506633736,10.955940091210337,8.991508850367286,11.29974004732335,8.358117027609563,11.201150442910343,cube,R2,pca99,static,neighbor_radius,31,31,0,19
0,,,,,,,,,,cube,R2,pca99,static,action_neighbor_distance,31,31,0,19
31,1.0697977638991196,1.0642301689623166,1.064396023074288,1.0480786407657152,1.092944398474618,1.0247147394479685,1.081701617666688,1.0405296830475796,1.0924602501646203,cube,R2,pca99,static,local_expansion,31,31,0,19
31,0.30647534294181455,0.2528578691439883,0.27509032348577284,0.2447325320911401,0.380383151793472,0.21514717686937457,0.31073227595452574,0.22591676286472384,0.3640595085854531,cube,R2,pca99,static,model_sensitivity,31,31,0,19
31,1.853495861254645,1.8350730161264854,1.7866068242263389,1.5549028814295034,2.1686866691660582,1.2374883296792294,2.146604945271636,1.4766890893039935,2.119176433297477,cube,R2,pca99,static,residual_norm,31,31,0,19
