row_id,episode_ordinal,regime,valid_neighbors,n_neighbors,neighbor_radius,input_spread,successor_spread,residual_spread,local_expansion,model_sensitivity,residual_norm,dataset,scale
swm/FetchSlideDense-v3::71::43,swm/FetchSlideDense-v3::71,free,True,10,3.634200595278334,3.634200595278334,1.3254709916484462,0.19170773386807904,0.36472147227385826,0.05275100502629152,0.18087108638394053,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::44,swm/FetchSlideDense-v3::71,free,True,10,3.757764715087225,3.757764715087225,1.1289885236094614,0.22997528356532287,0.300441514892253,0.061200022088127116,0.1909329043450232,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::45,swm/FetchSlideDense-v3::71,free,True,10,3.751715753411994,3.751715753411994,1.4275484208021978,0.19573115386264756,0.3805054845916606,0.05217110429665149,0.1704995135999625,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::46,swm/FetchSlideDense-v3::71,free,True,10,3.4457483975134746,3.4457483975134746,1.2094402062127054,0.22246875444700498,0.35099492670023824,0.06456326138250348,0.14793560190694724,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::47,swm/FetchSlideDense-v3::71,free,True,10,3.616407616052249,3.616407616052249,1.4920191481009035,0.1961589933114797,0.41256940768464173,0.05424139481423038,0.12340849158401704,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::48,swm/FetchSlideDense-v3::71,free,True,10,3.8341532868163464,3.8341532868163464,1.824919558546516,0.2208589197217375,0.47596416262789043,0.05760304901766868,0.2333112613563756,fetch,normalized_fullstate
swm/FetchSlideDense-v3::71::49,swm/FetchSlideDense-v3::71,free,True,10,3.9941797761580697,3.9941797761580697,1.3975082036589659,0.2232679701227404,0.3498861548498461,0.05589832772562328,0.19683807921490465,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::3,swm/FetchSlideDense-v3::77,free,True,10,12.845214336491651,12.845214336491651,4.515189264253964,1.0334640708825913,0.35150750668495073,0.0804551830596278,1.091829816615443,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::4,swm/FetchSlideDense-v3::77,free,True,10,5.483818586407077,5.483818586407077,2.00868493938986,0.591221048149569,0.3662931053862456,0.10781192682322646,0.6058114959422453,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::5,swm/FetchSlideDense-v3::77,interaction,True,10,5.032766377983149,5.032766377983149,6.862013214108231,2.6982069947092535,1.3634674647580485,0.5361280043741159,2.7539637056415347,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::6,swm/FetchSlideDense-v3::77,post_impact_response,True,10,7.671531973157017,7.671531973157017,3.2649434497831273,1.0183727839233663,0.42559210614089715,0.13274699075578275,0.8991087294478325,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::7,swm/FetchSlideDense-v3::77,post_impact_response,True,10,6.940300964836554,6.940300964836554,4.1907268775260995,0.5092443823414938,0.6038249492001377,0.07337497104543601,0.35745786944799907,fetch,normalized_fullstate
swm/FetchSlideDense-v3::77::8,swm/FetchSlideDense-v3::77,post_impact_response,True,10,6.253141230697091,6.253141230697091,2.0398710308356285,0.9418059944978215,0.32621541007610133,0.15061326135965594,0.981540174955337,fetch,normalized_fullstate
